o7,,,,,,,,,,,,,,,
,,RH (%),30,35,40,45,50,55,60,65,70,75,80,85,90
,T (C),,,,,,,,,,,,,,
,-6.67,,-21.11,-18.89,-17.22,-15.56,-14.44,-12.78,-11.67,-11.11,-10.56,-9.44,-8.89,-8.33,-7.78
,-1.11,,-15.56,-13.33,-11.67,-10.56,-9.44,-8.33,-7.22,-6.67,-5.56,-4.44,-3.89,-3.33,-2.78
,4.44,,-10,-8.89,-7.78,-6.11,-5,-3.89,-2.78,-2.22,-1.67,-0.56,1.11,2.22,2.78
,10,,-6.67,-5,-3.89,-2.22,-1.67,-0.56,2.22,3.33,4.44,5.56,6.67,7.22,8.33
,15.56,,-2.22,-0.56,1.67,2.78,4.44,6.11,7.22,8.33,10,11.11,12.22,12.78,13.89
,21.11,,2.22,4.44,6.11,8.33,10,11.67,12.78,13.89,15.56,16.67,17.22,18.33,19.44
,26.67,,6.67,8.89,11.11,13.33,15,16.11,17.78,18.89,20.56,21.67,22.78,23.89,25
,32.22,,11.11,13.89,16.11,17.78,19.44,21.11,22.78,24.44,25.56,26.67,27.78,28.89,30.56
,37.78,,16.11,18.33,20.56,22.78,25,26.67,28.33,29.44,31.11,32.78,33.89,35,36.11
,43.33,,20.56,23.33,25.56,27.78,30,31.67,33.33,33.89,35.56,37.78,38.89,40,41.67
,48.89,,25,28.33,30.56,32.78,34.44,36.67,38.33,39.44,40.56,42.22,43.33,45,47.22
