,RH (%),30,35,40,45,50,55,60,65,70,75,80,85,90
T (C),,,,,,,,,,,,,,
4.44,,,,,,-3.33,-2.78,-2.78,-1.11,-0.56,0,1.11,1.67,2.78
7.22,,,,-6.11,-3.33,-2.22,-1.11,0,0.56,1.67,2.78,3.89,4.44,5.56
10,,,,-4.44,-2.78,0,1.11,2.22,3.33,4.44,5.56,6.67,7.22,7.78
12.78,,-3.89,-2.22,0,0.56,2.22,3.33,4.44,6.11,7.22,8.33,9.44,10,11.11
15.56,,-2.22,-0.56,1.67,2.78,4.44,6.11,7.22,8.33,10,11.11,12.22,12.78,13.89
18.33,,0,2.22,4.44,5.56,7.22,8.89,10,11.67,12.78,13.89,15,15.56,16.67
21.11,,2.22,4.44,6.11,8.33,10,11.67,12.78,13.89,15.56,16.67,17.22,18.33,19.44
23.89,,5,7.22,9.44,11.11,12.78,14.44,15.56,16.67,17.78,18.89,20,21.11,22.22
26.67,,6.67,8.89,11.11,13.33,15,16.11,17.78,18.89,20.56,21.67,22.78,23.89,25
29.44,,10,12.22,14.44,16.11,17.78,19.44,20.56,22.22,23.33,24.44,25.56,26.67,27.22
32.22,,11.11,13.89,16.11,17.78,19.44,21.11,22.78,24.44,25.56,26.67,27.78,28.89,30.56
