,RH (%),10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
Temp (C),,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,0
2,,,,,,,,,,,,,,,,,,0,1,2
4,,,,,,,,,,,,,,,0,1,2,3,4,4
7,,,,,,,,,,,,0,1,2,3,4,4,6,6,7
10,,,,,,,,,,0,1,2,3,4,6,7,7,8,9,10
13,,,,,,,,0,1,2,3,4,6,7,8,9,10,11,12,13
16,,,,,,,0,2,3,5,6,7,9,10,11,12,13,14,14,16
18,,,,,,0,2,4,6,7,9,10,12,13,14,15,16,17,17,18
21,,,,,0,3,4,7,8,10,12,13,14,15,16,17,18,19,20,21
24,,,,0,2,5,7,9,11,13,14,16,17,18,19,20,21,22,23,24
27,,,0,2,4,7,10,12,13,15,17,18,19,21,22,23,24,25,26,27
29,,,0,3,7,10,12,14,16,18,19,21,22,23,24,26,27,27,28,29
32,,0,2,6,9,12,15,17,18,20,22,23,24,26,27,28,29,31,31,32
35,,0,4,9,12,15,17,19,21,23,24,26,27,29,30,31,32,33,34,35
38,,0,7,11,14,17,19,22,24,26,27,29,30,32,33,34,35,36,37,38
41,,3,8,13,17,19,22,24,27,28,29,32,33,34,35,36,37,38,39,41
43,,5,11,16,18,22,24,27,29,31,32,34,35,37,38,39,40,41,42,43
